"Index Name","Date","Open","High","Low","Close"
"NIFTY 50","28 Nov 2022","18430.55","18614.25","18365.60","18562.75"
"NIFTY 50","25 Nov 2022","18528.45","18534.90","18445.10","18512.75"
"NIFTY 50","24 Nov 2022","18326.10","18529.70","18294.25","18484.10"
"NIFTY 50","23 Nov 2022","18325.20","18325.40","18246.00","18267.25"
"NIFTY 50","22 Nov 2022","18179.15","18261.85","18137.70","18244.20"
"NIFTY 50","21 Nov 2022","18246.40","18262.30","18133.35","18159.95"
"NIFTY 50","18 Nov 2022","18382.95","18394.60","18209.80","18307.65"
"NIFTY 50","17 Nov 2022","18358.70","18417.60","18312.95","18343.90"
"NIFTY 50","16 Nov 2022","18398.25","18442.15","18344.15","18409.65"
"NIFTY 50","15 Nov 2022","18362.75","18427.95","18282.00","18403.40"
"NIFTY 50","14 Nov 2022","18376.40","18399.45","18311.40","18329.15"
"NIFTY 50","11 Nov 2022","18272.35","18362.30","18259.35","18349.70"
"NIFTY 50","10 Nov 2022","18044.35","18103.10","17969.40","18028.20"
"NIFTY 50","09 Nov 2022","18288.25","18296.40","18117.50","18157.00"
"NIFTY 50","07 Nov 2022","18211.75","18255.50","18064.75","18202.80"
"NIFTY 50","04 Nov 2022","18053.40","18135.10","18017.15","18117.15"
"NIFTY 50","03 Nov 2022","17968.35","18106.30","17959.20","18052.70"
"NIFTY 50","02 Nov 2022","18177.90","18178.75","18048.65","18082.85"
"NIFTY 50","01 Nov 2022","18130.70","18175.80","18060.15","18145.40"
"NIFTY 50","31 Oct 2022","17910.20","18022.80","17899.90","18012.20"
"NIFTY 50","28 Oct 2022","17756.40","17838.90","17723.70","17786.80"
"NIFTY 50","27 Oct 2022","17771.40","17783.90","17654.50","17736.95"
"NIFTY 50","25 Oct 2022","17808.30","17811.50","17637.00","17656.35"
"NIFTY 50","24 Oct 2022","17736.35","17777.55","17707.40","17730.75"
"NIFTY 50","21 Oct 2022","17622.85","17670.15","17520.75","17576.30"
"NIFTY 50","20 Oct 2022","17423.10","17584.15","17421.00","17563.95"
"NIFTY 50","19 Oct 2022","17568.15","17607.60","17472.85","17512.25"
"NIFTY 50","18 Oct 2022","17438.75","17527.80","17434.05","17486.95"
"NIFTY 50","17 Oct 2022","17144.80","17328.55","17098.55","17311.80"
"NIFTY 50","14 Oct 2022","17322.30","17348.55","17169.75","17185.70"
"NIFTY 50","13 Oct 2022","17087.35","17112.35","16956.95","17014.35"
"NIFTY 50","12 Oct 2022","17025.55","17142.35","16960.05","17123.60"
"NIFTY 50","11 Oct 2022","17256.05","17261.80","16950.30","16983.55"
"NIFTY 50","10 Oct 2022","17094.35","17280.15","17064.70","17241.00"
"NIFTY 50","07 Oct 2022","17287.20","17337.35","17216.95","17314.65"
"NIFTY 50","06 Oct 2022","17379.25","17428.80","17315.65","17331.80"
"NIFTY 50","04 Oct 2022","17147.45","17287.30","17117.30","17274.30"
"NIFTY 50","03 Oct 2022","17102.10","17114.65","16855.55","16887.35"
"NIFTY 50","30 Sep 2022","16798.05","17187.10","16747.70","17094.35"
"NIFTY 50","29 Sep 2022","16993.60","17026.05","16788.60","16818.10"
"NIFTY 50","28 Sep 2022","16870.55","17037.60","16820.40","16858.60"
"NIFTY 50","27 Sep 2022","17110.90","17176.45","16942.35","17007.40"
"NIFTY 50","26 Sep 2022","17156.30","17196.40","16978.30","17016.30"
"NIFTY 50","23 Sep 2022","17593.85","17642.15","17291.65","17327.35"
"NIFTY 50","22 Sep 2022","17609.65","17722.75","17532.45","17629.80"
"NIFTY 50","21 Sep 2022","17766.35","17838.70","17663.60","17718.35"
"NIFTY 50","20 Sep 2022","17770.40","17919.30","17744.40","17816.25"
"NIFTY 50","19 Sep 2022","17540.65","17667.20","17429.70","17622.25"
"NIFTY 50","16 Sep 2022","17796.80","17820.05","17497.25","17530.85"
"NIFTY 50","15 Sep 2022","18046.35","18096.15","17861.50","17877.40"
"NIFTY 50","14 Sep 2022","17771.15","18091.55","17771.15","18003.75"
"NIFTY 50","13 Sep 2022","18044.45","18088.30","18015.45","18070.05"
"NIFTY 50","12 Sep 2022","17890.85","17980.55","17889.15","17936.35"
"NIFTY 50","09 Sep 2022","17923.35","17925.95","17786.00","17833.35"
"NIFTY 50","08 Sep 2022","17748.15","17807.65","17691.95","17798.75"
"NIFTY 50","07 Sep 2022","17519.40","17650.75","17484.30","17624.40"
"NIFTY 50","06 Sep 2022","17695.70","17764.65","17587.65","17655.60"
"NIFTY 50","05 Sep 2022","17546.45","17683.15","17540.35","17665.80"
"NIFTY 50","02 Sep 2022","17598.40","17643.85","17476.45","17539.45"
"NIFTY 50","01 Sep 2022","17485.70","17695.60","17468.45","17542.80"
"NIFTY 50","30 Aug 2022","17414.95","17777.65","17401.50","17759.30"
"NIFTY 50","29 Aug 2022","17188.65","17380.15","17166.20","17312.90"
"NIFTY 50","26 Aug 2022","17619.30","17685.85","17519.35","17558.90"
"NIFTY 50","25 Aug 2022","17679.00","17726.50","17487.45","17522.45"
"NIFTY 50","24 Aug 2022","17525.45","17623.65","17499.25","17604.95"
"NIFTY 50","23 Aug 2022","17357.35","17625.55","17345.20","17577.50"
